Designator,Mid X,Mid Y,Rotation,Layer
C1,89.2,-93.6,180.0,top
C2,89.2,-108.8,180.0,top
C3,101.4725,-82.0,270.0,top
C4,96.2,-100.4,0.0,top
C5,91.775,-87.0,180.0,top
C6,100.625,-100.4,0.0,top
C7,105.41,-116.84,180.0,top
C8,111.76,-101.6,0.0,top
C9,101.8,-94.4,90.0,top
D1,80.01,-93.345,270.0,top
D10,120.1,-81.2,0.0,top
D2,80.01,-108.585,270.0,top
D3,118.145,-77.03,0.0,top
D4,94.6,-94.0,90.0,top
D5,99.0,-94.0,90.0,top
D6,94.0,-110.6,270.0,top
D7,99.0,-110.6,270.0,top
D8,95.4,-81.6,90.0,top
D9,115.6,-88.735,180.0,top
F1,95.4,-76.2,0.0,top
J1,64.972517,-99.1616,270.0,top
J2,64.972517,-111.8616,270.0,top
J3,64.972517,-87.7316,270.0,top
J4,120.0666,-119.962483,0.0,top
K1,124.4,-98.11,0.0,top
Q1,109.855,-95.25,180.0,top
Q2,114.3,-95.25,180.0,top
R1,80.01,-88.265,180.0,top
R10,88.9,-101.6,0.0,top
R11,80.01,-114.935,180.0,top
R12,88.9,-116.84,0.0,top
R13,118.175,-75.4,0.0,top
R14,94.6,-90.8,90.0,top
R15,99.0,-90.8,270.0,top
R16,94.0,-113.8,270.0,top
R17,99.0,-113.8,90.0,top
R18,101.435,-115.4375,90.0,top
R19,101.435,-111.6275,270.0,top
R2,80.01,-103.505,180.0,top
R20,105.41,-109.22,180.0,top
R21,105.41,-107.315,0.0,top
R22,108.585,-111.125,270.0,top
R23,114.935,-111.76,270.0,top
R24,114.935,-107.95,270.0,top
R25,114.935,-104.14,270.0,top
R26,104.775,-92.075,0.0,top
R27,112.395,-111.125,270.0,top
R28,110.49,-111.125,90.0,top
R29,108.3075,-92.075,0.0,top
R3,80.01,-90.17,0.0,top
R30,115.6,-90.6,180.0,top
R31,108.585,-102.235,90.0,top
R4,80.01,-105.41,0.0,top
R5,80.01,-97.79,0.0,top
R6,85.09,-101.6,0.0,top
R7,80.01,-113.03,0.0,top
R8,85.09,-116.84,0.0,top
R9,80.01,-99.695,180.0,top
TP1,75.6,-94.8,0.0,top
TP2,75.6,-110.0,0.0,top
TP3,87.0,-105.8,0.0,top
TP4,87.0,-90.4,0.0,top
TP5,111.4,-117.4,0.0,top
TP6,126.9,-117.0,0.0,top
TP7,115.6,-84.2,0.0,top
TP8,132.9,-91.9,0.0,top
TP9,132.9,-103.0,0.0,top
U1,86.995,-97.155,270.0,top
U2,86.995,-112.395,270.0,top
U3,109.32,-80.96,90.0,top
U4,95.25,-103.505,270.0,top
U5,99.695,-103.505,270.0,top
U6,105.41,-113.03,90.0,top
U7,111.76,-105.41,270.0,top
U8,104.775,-95.25,0.0,top
